U.S. Forest Service,,,,,
Forest Products Financial System,,,,,
Contracts - FPFS_12.1.S,,,,,
"On the July, 2020 Close",,,,,
Run Date: 08/14/2020 16:46:12 - For USFS Use Only,,,,,
"RegionCode","RegionName","ForestCode","ForestName","DistrictCode","DistrictName"
01,Northern,16,Lolo,06,Seeley Lake
01,Northern,16,Lolo,06,Seeley Lake
01,Northern,16,Lolo,06,Seeley Lake
01,Northern,16,Lolo,06,Seeley Lake
01,Northern,16,Lolo,06,Seeley Lake
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,16,Lolo,07,Superior
01,Northern,17,Nez Perce-Clearwater,01,Salmon River
01,Northern,17,Nez Perce-Clearwater,01,Salmon River
01,Northern,17,Nez Perce-Clearwater,01,Salmon River
01,Northern,17,Nez Perce-Clearwater,01,Salmon River
01,Northern,17,Nez Perce-Clearwater,01,Salmon River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,05,Red River
01,Northern,17,Nez Perce-Clearwater,06,Moose Creek
01,Northern,17,Nez Perce-Clearwater,06,Moose Creek
01,Northern,17,Nez Perce-Clearwater,06,Moose Creek
01,Northern,17,Nez Perce-Clearwater,06,Moose Creek
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,52,Palouse
01,Northern,17,Nez Perce-Clearwater,53,North Fork
